date,target_swe,ERA5,BiLSTM_avg,Transformer_avg
2022-03-05,135.0,113.05506447991368,123.35233725747105,127.4500382347965
2022-03-06,,112.6597316435314,122.32313405785331,117.21663052353628
2022-03-07,,113.53458564813168,121.968475835872,92.83521316583187
2022-03-08,,112.35161034936596,122.36814072007823,118.33693692559886
2022-03-09,,112.32160902497276,125.07880983826621,131.0037371682833
2022-03-10,132.0,112.2611909732332,127.41220873446366,130.3356408938875
2022-03-11,,112.1941572448326,127.45729048457868,127.17333700862653
2022-03-12,,112.2120118791702,127.49184986897733,127.47263390370634
2022-03-13,,111.40268384410358,126.4826236863277,111.96653791858174
2022-03-14,,110.44424922680275,125.42599361156837,89.60652950024026
2022-03-15,135.0,110.20319243162706,125.7126980850084,128.8943606445177
2022-03-16,,110.1356663738005,125.7907122646086,128.0596255336516
2022-03-17,,110.1119191716462,125.61284557087716,126.0036334584504
2022-03-18,,110.10094945662446,125.43616292708346,124.92081735365817
2022-03-19,,110.08957972394418,124.2356183515687,123.66223425733043
2022-03-20,127.0,110.0925721637362,123.42883067051109,124.83626990238365
2022-03-21,,110.04462389323804,123.91634573314282,123.29813856456371
2022-03-22,,109.6328287916759,123.87700756364856,108.29414971643482
2022-03-23,,108.94583692630802,123.59257822116885,93.32701468249832
2022-03-24,,108.27123791570872,123.32436711187572,123.89552990789623
2022-03-25,140.0,107.90194469037029,123.28568549694987,126.72709346356365
2022-03-26,,107.92352256599152,123.3946018201419,126.68068618598663
2022-03-27,,107.18028206371004,122.38511204265292,113.61396381400759
2022-03-28,,106.19844641338253,121.04896158824825,85.08320631633663
2022-03-29,,106.56752424459714,122.03352117758054,125.24324331503172
2022-03-30,,106.48129736123217,122.13318258462084,124.39456659493578
2022-03-31,138.0,107.12572580919807,122.72671114550178,125.94288241015022
2022-04-01,,108.25286787400334,121.814647086955,121.58241136918157
2022-04-02,,109.8481921449354,99.59613816887644,89.36178810745982
2022-04-03,,112.07892908122088,88.24399827982927,90.54968790080095
2022-04-04,,114.7434620902902,90.86616983870329,93.18308840254606
2022-04-05,48.0,117.92127160384346,94.04721726729562,96.35111741377999
2022-04-06,,122.27674848953906,98.40890943924609,100.91080496231737
2022-04-07,,126.18818269627344,105.93748289006007,104.69686380284084
2022-04-08,,128.50897745426948,117.8727286749726,115.16427282627876
2022-04-09,,131.04956653035848,116.45783479131428,110.61273524678913
2022-04-10,,133.4141632219686,120.46942903007407,151.84124452079672
2022-04-11,,135.09168342909075,121.01840810140826,138.93879937490678
