date,observed_swe,ERA5_Land,PINN_prediction,PINN_std,PINN_physics,PINN_correction,n_predictions,bias_vs_ERA5,absolute_error,is_observed
2022-04-21,,137.3334197998047,137.86828104654947,0.6931598028371754,138.41136678059897,0.030254801114400227,3,0.5348612467447822,,False
2022-04-22,,137.3335418701172,139.12728373209634,1.0362715496665629,137.92578125,1.5180269678433735,3,1.7937418619791572,,False
2022-04-23,,137.3331756591797,138.9380849202474,0.7096963213236527,139.12767537434897,0.771617184082667,3,1.6049092610677178,,False
2022-04-24,,137.3052215576172,139.32464090983072,0.8169695462266648,138.9435831705729,1.2570912043253581,3,2.019419352213532,,False
2022-04-25,,137.3187713623047,138.8343505859375,0.5739429414570314,139.32345072428384,0.5822394688924154,3,1.5155792236328125,,False
2022-04-26,,137.32814025878906,138.87695821126303,0.7964025167193368,138.83321126302084,0.847754401465257,3,1.5488179524739678,,False
2022-04-27,,137.33187866210938,138.5447540283203,0.919540454015067,138.8761749267578,0.4952849547068278,3,1.2128753662109375,,False
2022-04-28,,137.33316040039062,138.40159606933594,1.0916184248668133,138.54366048177084,0.5079581439495087,3,1.0684356689453125,,False
2022-04-29,,137.33349609375,138.27962239583334,1.0111629515067915,138.40062967936197,0.45409459869066876,3,0.9461263020833428,,False
2022-04-30,,137.3335418701172,138.23641967773438,0.9861646576563187,138.27877298990884,0.46705997983614606,3,0.9028778076171875,,False
2022-05-01,,137.3335418701172,137.97014617919922,0.8911050020447301,138.01177215576172,0.32387594133615494,4,0.6366043090820312,,False
2022-05-02,,137.3335418701172,138.2256317138672,0.903615729186835,137.97639846801758,0.5954037010669708,4,0.89208984375,,False
2022-05-03,,137.3335418701172,138.32770538330078,1.0212979671728315,138.22431182861328,0.5799453556537628,4,0.9941635131835938,,False
2022-05-04,,137.3335418701172,138.2411346435547,0.9750581152730265,138.32643508911133,0.44680779054760933,4,0.9075927734375,,False
2022-05-05,,137.3335418701172,138.28433227539062,1.0089994196909167,138.2398567199707,0.5304060466587543,4,0.9507904052734375,,False
2022-05-06,,137.3335418701172,138.06647872924805,0.8979668771330269,138.2832794189453,0.29244277998805046,4,0.7329368591308594,,False
2022-05-07,,137.3335418701172,138.48749923706055,1.1334742371314936,138.0727195739746,0.8116298876702785,4,1.1539573669433594,,False
2022-05-08,,137.3335418701172,138.41469192504883,0.9952174437429104,138.48607635498047,0.5460646562278271,4,1.0811500549316406,,False
2022-05-09,,137.3335418701172,138.29541778564453,0.9987590598513464,138.41339111328125,0.45981020480394363,4,0.9618759155273438,,False
2022-05-10,,137.3335418701172,138.21987533569336,0.970777320915012,138.2942237854004,0.4403064474463463,4,0.8863334655761719,,False
2022-05-11,,137.3335418701172,138.018603515625,0.9171101273081009,138.042041015625,0.35640298426151273,5,0.6850616455078011,,False
2022-05-12,,137.3335418701172,137.89095153808594,1.0231803797465437,138.01817932128907,0.23993481695652008,5,0.5574096679687557,,False
2022-05-13,,137.3335418701172,137.86729431152344,0.9035740314585118,137.89107666015624,0.27823944985866544,5,0.53375244140625,,False
2022-05-14,,137.3335418701172,137.8613067626953,0.8511478158947712,137.86856689453126,0.28161549717187884,5,0.5277648925781193,,False
2022-05-15,,137.3335418701172,137.8804168701172,0.9410411063260098,137.98192443847657,0.24624693095684053,5,0.546875,,False
2022-05-16,,137.3335418701172,137.88015747070312,0.9098595188194506,137.88242797851564,0.29405308663845064,5,0.5466156005859375,,False
2022-05-17,,137.3335418701172,137.900732421875,0.8562803694419208,137.8802703857422,0.3155870229005814,5,0.5671905517578182,,False
2022-05-18,,137.3335418701172,137.85950622558593,0.8201947464668234,137.90115356445312,0.263880655169487,5,0.5259643554687443,,False
2022-05-19,,137.3335418701172,137.86410827636718,0.907544076245486,137.9870574951172,0.22704332172870637,5,0.5305664062499886,,False
2022-05-20,,137.3335418701172,137.96119079589843,0.9415686298447623,137.86713256835938,0.3818399727344513,5,0.6276489257812443,,False
2022-05-21,,137.3335418701172,137.87318420410156,0.795460547940389,137.96170043945312,0.24957044795155525,5,0.539642333984375,,False
2022-05-22,,137.3335418701172,137.79661305745444,0.8052630652099938,137.85350290934244,0.22166280448436737,6,0.46307118733724906,,False
2022-05-23,,137.3335418701172,137.83624521891275,1.0145244704098881,137.8091812133789,0.2823639164368312,6,0.5027033487955634,,False
2022-05-24,,137.3335418701172,137.71358998616537,0.8868075382447123,137.85216776529947,0.14231380075216293,6,0.38004811604818656,,False
2022-05-25,,137.3335418701172,137.69856770833334,0.8878221280350699,137.7325007120768,0.18317703902721405,6,0.3650258382161553,,False
2022-05-26,,137.3335418701172,137.6889190673828,0.8709946637149549,137.72891743977866,0.17522779231270155,6,0.355377197265625,,False
2022-05-27,,137.3335418701172,137.7051264444987,0.8633069874241303,137.70907338460287,0.20067084083954492,6,0.37158457438150094,,False
2022-05-28,,137.3335418701172,137.71851348876953,0.8625460787038374,137.72672017415366,0.20551217657824358,6,0.38497161865234375,,False
2022-05-29,,137.3335418701172,137.8414052327474,0.9528282388120319,137.7510248819987,0.31687813500563305,6,0.5078633626302178,,False
2022-05-30,,137.3335418701172,137.78372192382812,0.8662102961170498,137.8580805460612,0.20887940004467964,6,0.4501800537109375,,False
2022-05-31,,137.3335418701172,137.77829233805338,0.8567270079464547,137.86570994059244,0.1989749692826687,6,0.44475046793618844,,False
2022-10-01,,1.4099279642105103,46.47226069654737,18.47437625052883,118.31267665113721,-10.882612773350306,7,45.06233273233686,,False
2022-10-02,,1.2225309610366821,15.903841086796351,5.681307419979725,46.47341331413814,-6.995247840881348,7,14.68131012575967,,False
2022-10-03,,0.9330511093139648,5.914190905434745,2.05901739833631,16.083391325814382,-2.2990372085145543,7,4.98113979612078,,False
2022-10-04,,0.6477832794189453,4.1573770727430075,1.0256670404937935,6.17441041128976,0.8539731757981437,7,3.509593793324062,,False
2022-10-05,,0.39573511481285095,3.294208833149501,1.009296422038719,4.6907297883714945,0.8352081179618835,7,2.8984737183366502,,False
2022-10-06,,0.1704891473054886,3.169792209352766,0.808354052614745,4.079579591751099,1.1159258910587855,7,2.9993030620472774,,False
2022-10-07,,0.08354584127664566,2.940576042447771,1.0652448346512897,3.8333020891462053,1.0523804660354341,7,2.8570302011711255,,False
2022-10-08,,0.027676424011588097,2.8479917219706943,0.6795488466955013,4.1713893328394205,0.8191865001405988,7,2.820315297959106,,False
2022-10-09,,0.002125899074599147,2.739136048725673,1.0764980657488898,3.9487790891102383,0.8308278364794595,7,2.737010149651074,,False
2022-10-10,,0.0005364418029785156,3.01645142691476,0.800348918677834,3.336331605911255,1.411889169897352,7,3.0159149851117815,,False
2022-10-23,,0.010450680740177631,2.6134726578602567,1.4542635079408948,3.0673995713004842,1.134061073884368,8,2.603021977120079,,False
2022-10-24,,0.05837281420826912,3.2662918716669083,1.1583697109165456,2.611080662580207,1.9880051761865616,8,3.207919057458639,,False
2022-10-25,,0.06008148193359375,3.2959694266319275,1.2296779293338518,3.262610137462616,1.6978462524712086,8,3.2358879446983337,,False
2022-10-26,,0.04539887234568596,3.086533784866333,0.7129024232711579,3.8915678560733795,1.186135407537222,8,3.041134912520647,,False
2022-10-27,,0.033160049468278885,2.895105928182602,1.0118691245485703,3.746104434132576,1.0695010460913181,8,2.861945878714323,,False
2022-10-28,,0.9472171664237976,3.7356943637132645,1.4382518258608776,2.9374766498804092,1.8333600275218487,8,2.788477197289467,,False
